callout_group,hex_code,lineage
B.1.1.529,#E26028,BA.1.6
B.1.1.529,#E26028,BA.1.7
B.1.1.529,#E26028,BA.1.8
B.1.1.529,#E26028,BA.1.9
BA.2,#9CCC65,BA.2
BA.2,#9CCC65,BA.2.1
BA.2,#9CCC65,BA.2.10
BA.2,#9CCC65,BA.2.10.1
BA.2,#9CCC65,BA.2.10.2
BA.2,#9CCC65,BA.2.10.3
BA.2,#9CCC65,BA.2.10.4
BA.2,#9CCC65,BA.2.11
BA.2,#9CCC65,BA.2.12
BA.2.12.1,#7CB342,BA.2.12.1
BA.2,#9CCC65,BA.2.12.2
BA.2,#9CCC65,BA.2.13
BA.2,#9CCC65,BA.2.13.1
BA.2,#9CCC65,BA.2.14
BA.2,#9CCC65,BA.2.15
BA.2,#9CCC65,BA.2.16
BA.2,#9CCC65,BA.2.17
BA.2,#9CCC65,BA.2.18
BA.2,#9CCC65,BA.2.19
BA.2,#9CCC65,BA.2.2
BA.2,#9CCC65,BA.2.2.1
BA.2,#9CCC65,BA.2.20
BA.2,#9CCC65,BA.2.21
BA.2,#9CCC65,BA.2.22
BA.2,#9CCC65,BA.2.23
BA.2,#9CCC65,BA.2.23.1
BA.2,#9CCC65,BA.2.24
BA.2,#9CCC65,BA.2.25
BA.2,#9CCC65,BA.2.25.1
BA.2,#9CCC65,BA.2.26
BA.2,#9CCC65,BA.2.27
BA.2,#9CCC65,BA.2.28
BA.2,#9CCC65,BA.2.29
BA.2,#9CCC65,BA.2.3
BA.2,#9CCC65,BA.2.3.1
BA.2,#9CCC65,BA.2.3.10
BA.2,#9CCC65,BA.2.3.11
BA.2,#9CCC65,BA.2.3.12
BA.2,#9CCC65,BA.2.3.13
BA.2,#9CCC65,BA.2.3.14
BA.2,#9CCC65,BA.2.3.15
BA.2,#9CCC65,BA.2.3.16
BA.2,#9CCC65,BA.2.3.17
BA.2,#9CCC65,BA.2.3.18
BA.2,#9CCC65,BA.2.3.19
BA.2,#9CCC65,BA.2.3.2
BA.2,#9CCC65,BA.2.3.20
BA.2,#9CCC65,BA.2.3.21
BA.2,#9CCC65,BA.2.3.22
BA.2,#9CCC65,BA.2.3.4
BA.2,#9CCC65,BA.2.3.5
BA.2,#9CCC65,BA.2.3.6
BA.2,#9CCC65,BA.2.3.7
BA.2,#9CCC65,BA.2.3.8
BA.2,#9CCC65,BA.2.3.9
BA.2,#9CCC65,BA.2.30
BA.2,#9CCC65,BA.2.31
BA.2,#9CCC65,BA.2.31.1
BA.2,#9CCC65,BA.2.32
BA.2,#9CCC65,BA.2.33
BA.2,#9CCC65,BA.2.34
BA.2,#9CCC65,BA.2.35
BA.2,#9CCC65,BA.2.36
BA.2,#9CCC65,BA.2.37
BA.2,#9CCC65,BA.2.38
BA.2,#9CCC65,BA.2.38.1
BA.2,#9CCC65,BA.2.38.2
BA.2,#9CCC65,BA.2.38.3
BA.2,#9CCC65,BA.2.38.4
BA.2,#9CCC65,BA.2.39
BA.2,#9CCC65,BA.2.4
BA.2,#9CCC65,BA.2.40
BA.2,#9CCC65,BA.2.40.1
BA.2,#9CCC65,BA.2.41
BA.2,#9CCC65,BA.2.42
BA.2,#9CCC65,BA.2.43
BA.2,#9CCC65,BA.2.44
BA.2,#9CCC65,BA.2.45
BA.2,#9CCC65,BA.2.46
BA.2,#9CCC65,BA.2.47
BA.2,#9CCC65,BA.2.48
BA.2,#9CCC65,BA.2.49
BA.2,#9CCC65,BA.2.5
BA.2,#9CCC65,BA.2.50
BA.2,#9CCC65,BA.2.51
BA.2,#9CCC65,BA.2.52
BA.2,#9CCC65,BA.2.53
BA.2,#9CCC65,BA.2.54
BA.2,#9CCC65,BA.2.55
BA.2,#9CCC65,BA.2.56
BA.2,#9CCC65,BA.2.56.1
BA.2,#9CCC65,BA.2.57
BA.2,#9CCC65,BA.2.58
BA.2,#9CCC65,BA.2.59
BA.2,#9CCC65,BA.2.6
BA.2,#9CCC65,BA.2.60
BA.2,#9CCC65,BA.2.61
BA.2,#9CCC65,BA.2.62
BA.2,#9CCC65,BA.2.63
BA.2,#9CCC65,BA.2.64
BA.2,#9CCC65,BA.2.65
BA.2,#9CCC65,BA.2.66
BA.2,#9CCC65,BA.2.67
BA.2,#9CCC65,BA.2.68
BA.2,#9CCC65,BA.2.69
BA.2,#9CCC65,BA.2.7
BA.2,#9CCC65,BA.2.70
BA.2,#9CCC65,BA.2.71
BA.2,#9CCC65,BA.2.72
BA.2,#9CCC65,BA.2.73
BA.2,#9CCC65,BA.2.74
BA.2.75,#D4E157,BA.2.75
BA.2.75,#D4E157,BA.2.75.1
BA.2.75,#D4E157,BA.2.75.10
BA.2.75.2,#C0CA33,BA.2.75.2
BA.2.75,#D4E157,BA.2.75.3
BA.2.75,#D4E157,BA.2.75.4
BA.2.75,#D4E157,BA.2.75.5
BA.2.75,#D4E157,BA.2.75.6
BA.2.75,#D4E157,BA.2.75.7
BA.2.75,#D4E157,BA.2.75.8
BA.2.75,#D4E157,BA.2.75.9
BA.2,#9CCC65,BA.2.76
BA.2,#9CCC65,BA.2.76.1
BA.2,#9CCC65,BA.2.76.2
BA.2,#9CCC65,BA.2.77
BA.2,#9CCC65,BA.2.78
BA.2,#9CCC65,BA.2.79
BA.2,#9CCC65,BA.2.79.1
BA.2,#9CCC65,BA.2.8
BA.2,#9CCC65,BA.2.80
BA.2,#9CCC65,BA.2.81
BA.2,#9CCC65,BA.2.82
BA.2,#9CCC65,BA.2.83
BA.2,#9CCC65,BA.2.85
BA.2.86,#d771f1,BA.2.86
BA.2.86,#d771f1,BA.2.86.1
BA.2.86,#d771f1,BA.2.86.2
BA.2.86,#d771f1,BA.2.86.3
BA.2.86,#d771f1,BA.2.86.4
BA.2.86,#d771f1,BA.2.86.5
BA.2.86,#d771f1,BA.2.86.6
BA.2.86,#d771f1,BA.2.86.7
BA.2,#9CCC65,BA.2.87
BA.2,#9CCC65,BA.2.87.1
BA.2,#9CCC65,BA.2.9
BA.2,#9CCC65,BA.2.9.1
BA.2,#9CCC65,BA.2.9.2
BA.2,#9CCC65,BA.2.9.3
BA.2,#9CCC65,BA.2.9.4
BA.2,#9CCC65,BA.2.9.5
BA.2,#9CCC65,BA.2.9.6
BA.2,#9CCC65,BA.2.9.7
B.1.1.529,#E26028,BA.3
B.1.1.529,#E26028,BA.3.1
B.1.1.529,#E26028,BA.3.2
B.1.1.529,#E26028,BA.3.2.1
B.1.1.529,#E26028,BA.3.2.2
BA.4,#FFD54F,BA.4
BA.4,#FFD54F,BA.4.1
BA.4,#FFD54F,BA.4.1.1
BA.4,#FFD54F,BA.4.1.10
BA.4,#FFD54F,BA.4.1.11
BA.4,#FFD54F,BA.4.1.2
BA.4,#FFD54F,BA.4.1.3
BA.4,#FFD54F,BA.4.1.4
BA.4,#FFD54F,BA.4.1.5
BA.4,#FFD54F,BA.4.1.6
BA.4,#FFD54F,BA.4.1.7
BA.4,#FFD54F,BA.4.1.8
BA.4,#FFD54F,BA.4.1.9
BA.4,#FFD54F,BA.4.2
BA.4,#FFD54F,BA.4.3
BA.4,#FFD54F,BA.4.4
BA.4,#FFD54F,BA.4.5
BA.4.6,#FFB300,BA.4.6
BA.4.6,#FFB300,BA.4.6.1
BA.4.6,#FFB300,BA.4.6.2
BA.4.6,#FFB300,BA.4.6.3
BA.4.6,#FFB300,BA.4.6.4
BA.4.6,#FFB300,BA.4.6.5
BA.4,#FFD54F,BA.4.7
BA.4,#FFD54F,BA.4.8
BA.5,#80CBC4,BA.5
BA.5,#80CBC4,BA.5.1
BA.5,#80CBC4,BA.5.1.1
BA.5,#80CBC4,BA.5.1.10
BA.5,#80CBC4,BA.5.1.11
BA.5,#80CBC4,BA.5.1.12
BA.5,#80CBC4,BA.5.1.14
BA.5,#80CBC4,BA.5.1.15
BA.5,#80CBC4,BA.5.1.16
BA.5,#80CBC4,BA.5.1.17
BA.5,#80CBC4,BA.5.1.18
BA.5,#80CBC4,BA.5.1.19
BA.5,#80CBC4,BA.5.1.2
BA.5,#80CBC4,BA.5.1.20
BA.5,#80CBC4,BA.5.1.21
BA.5,#80CBC4,BA.5.1.22
BA.5,#80CBC4,BA.5.1.23
BA.5,#80CBC4,BA.5.1.24
BA.5,#80CBC4,BA.5.1.25
BA.5,#80CBC4,BA.5.1.26
BA.5,#80CBC4,BA.5.1.27
BA.5,#80CBC4,BA.5.1.28
BA.5,#80CBC4,BA.5.1.29
BA.5,#80CBC4,BA.5.1.3
BA.5,#80CBC4,BA.5.1.30
BA.5,#80CBC4,BA.5.1.31
BA.5,#80CBC4,BA.5.1.32
BA.5,#80CBC4,BA.5.1.33
BA.5,#80CBC4,BA.5.1.34
BA.5,#80CBC4,BA.5.1.35
BA.5,#80CBC4,BA.5.1.36
BA.5,#80CBC4,BA.5.1.37
BA.5,#80CBC4,BA.5.1.38
BA.5,#80CBC4,BA.5.1.4
BA.5,#80CBC4,BA.5.1.5
BA.5,#80CBC4,BA.5.1.6
BA.5,#80CBC4,BA.5.1.7
BA.5,#80CBC4,BA.5.1.8
BA.5,#80CBC4,BA.5.1.9
BA.5,#80CBC4,BA.5.10
BA.5,#80CBC4,BA.5.10.1
BA.5,#80CBC4,BA.5.11
BA.5,#80CBC4,BA.5.12
BA.5,#80CBC4,BA.5.2
BA.5,#80CBC4,BA.5.2.1
BA.5,#80CBC4,BA.5.2.10
BA.5,#80CBC4,BA.5.2.11
BA.5,#80CBC4,BA.5.2.12
BA.5,#80CBC4,BA.5.2.13
BA.5,#80CBC4,BA.5.2.14
BA.5,#80CBC4,BA.5.2.16
BA.5,#80CBC4,BA.5.2.18
BA.5,#80CBC4,BA.5.2.19
BA.5,#80CBC4,BA.5.2.2
BA.5,#80CBC4,BA.5.2.20
BA.5,#80CBC4,BA.5.2.21
BA.5,#80CBC4,BA.5.2.22
BA.5,#80CBC4,BA.5.2.23
BA.5,#80CBC4,BA.5.2.24
BA.5,#80CBC4,BA.5.2.25
BA.5,#80CBC4,BA.5.2.26
BA.5,#80CBC4,BA.5.2.27
BA.5,#80CBC4,BA.5.2.28
BA.5,#80CBC4,BA.5.2.29
BA.5,#80CBC4,BA.5.2.3
BA.5,#80CBC4,BA.5.2.30
BA.5,#80CBC4,BA.5.2.31
BA.5,#80CBC4,BA.5.2.32
BA.5,#80CBC4,BA.5.2.33
BA.5,#80CBC4,BA.5.2.34
BA.5,#80CBC4,BA.5.2.35
BA.5,#80CBC4,BA.5.2.36
BA.5,#80CBC4,BA.5.2.37
BA.5,#80CBC4,BA.5.2.38
BA.5,#80CBC4,BA.5.2.39
BA.5,#80CBC4,BA.5.2.4
BA.5,#80CBC4,BA.5.2.40
BA.5,#80CBC4,BA.5.2.41
BA.5,#80CBC4,BA.5.2.42
BA.5,#80CBC4,BA.5.2.43
BA.5,#80CBC4,BA.5.2.44
BA.5,#80CBC4,BA.5.2.45
BA.5,#80CBC4,BA.5.2.46
BA.5,#80CBC4,BA.5.2.47
BA.5,#80CBC4,BA.5.2.48
BA.5,#80CBC4,BA.5.2.49
BA.5,#80CBC4,BA.5.2.5
BA.5,#80CBC4,BA.5.2.50
BA.5,#80CBC4,BA.5.2.51
BA.5,#80CBC4,BA.5.2.52
BA.5,#80CBC4,BA.5.2.53
BA.5,#80CBC4,BA.5.2.54
BA.5,#80CBC4,BA.5.2.55
BA.5,#80CBC4,BA.5.2.56
BA.5,#80CBC4,BA.5.2.57
BA.5,#80CBC4,BA.5.2.58
BA.5,#80CBC4,BA.5.2.59
BA.5.2.6,#009688,BA.5.2.6
BA.5,#80CBC4,BA.5.2.60
BA.5,#80CBC4,BA.5.2.61
BA.5,#80CBC4,BA.5.2.62
BA.5,#80CBC4,BA.5.2.63
BA.5,#80CBC4,BA.5.2.7
BA.5,#80CBC4,BA.5.2.8
BA.5,#80CBC4,BA.5.2.9
BA.5,#80CBC4,BA.5.3
BA.5,#80CBC4,BA.5.3.1
BA.5,#80CBC4,BA.5.3.2
BA.5,#80CBC4,BA.5.3.3
BA.5,#80CBC4,BA.5.3.4
BA.5,#80CBC4,BA.5.3.5
BA.5,#80CBC4,BA.5.5
BA.5,#80CBC4,BA.5.5.1
BA.5,#80CBC4,BA.5.5.2
BA.5,#80CBC4,BA.5.5.3
BA.5,#80CBC4,BA.5.6
BA.5,#80CBC4,BA.5.6.1
BA.5,#80CBC4,BA.5.6.2
BA.5,#80CBC4,BA.5.6.3
BA.5,#80CBC4,BA.5.6.4
BA.5,#80CBC4,BA.5.7
BA.5,#80CBC4,BA.5.8
BA.5,#80CBC4,BA.5.9
Other,#797979,BB.2
BA.1.1,#FF824C,BC.1
BA.1.1,#FF824C,BC.2
B.1.1.529,#E26028,BD.1
BA.5,#80CBC4,BE.1
BA.5,#80CBC4,BE.1.1
BA.5,#80CBC4,BE.1.1.1
BA.5,#80CBC4,BE.1.1.2
BA.5,#80CBC4,BE.1.2
BA.5,#80CBC4,BE.1.2.1
BA.5,#80CBC4,BE.1.3
BA.5,#80CBC4,BE.1.4
BA.5,#80CBC4,BE.1.4.1
BA.5,#80CBC4,BE.1.4.2
BA.5,#80CBC4,BE.1.4.3
BA.5,#80CBC4,BE.1.4.4
BA.5,#80CBC4,BE.10
BA.5,#80CBC4,BE.11
BA.5,#80CBC4,BE.12
BA.5,#80CBC4,BE.13
BA.5,#80CBC4,BE.2
BA.5,#80CBC4,BE.3
BA.5,#80CBC4,BE.4
BA.5,#80CBC4,BE.4.1
BA.5,#80CBC4,BE.4.1.1
BA.5,#80CBC4,BE.4.2
BA.5,#80CBC4,BE.5
BA.5,#80CBC4,BE.6
BA.5,#80CBC4,BE.7
BA.5,#80CBC4,BE.8
BA.5,#80CBC4,BE.9
BA.5,#80CBC4,BF.1
